question,Goldstandard
List chromosome locations of the genes related to Hemolytic anemia due to phosphofructokinase deficiency.,21q22.3
List chromosome locations of the genes related to  Distal renal tubular acidosis.,17q21.31
List chromosome locations of the genes related to Pseudohypoparathyroidism Ic.,20q13.32
List chromosome locations of the genes related to Glycine N-methyltransferase deficiency.,6p21.1
List chromosome locations of the genes related to Meesmann corneal dystrophy.,17q21.2
List chromosome locations of the genes related to Chronic atrial and intestinal dysrhythmia.,3p24.3
List chromosome locations of the genes related to Sensorineural deafness with mild renal dysfunction.,1p32.3
List chromosome locations of the genes related to Bile acid malabsorption.,13q33.1
List chromosome locations of the genes related to Immunodeficiency due to defect in MAPBP-interacting protein.,1q22
List chromosome locations of the genes related to Currarino syndrome.,7q36.3
List chromosome locations of the genes related to Intervertebral disc disease.,20q13.33
List chromosome locations of the genes related to Otofaciocervical syndrome.,8q13.3
List chromosome locations of the genes related to Brody myopathy.,16p11.2
List chromosome locations of the genes related to Neurodevelopmental disorder with gait disturbance.,Xq22.2
List chromosome locations of the genes related to Mitochondrial DNA depletion syndrome 4A Alpers type.,15q26.1
List chromosome locations of the genes related to Nephropathy due to CFHR5 deficiency.,1q31.3
List chromosome locations of the genes related to Achromatopsia.,2q11.2
List chromosome locations of the genes related to Hyperphenylalaninemia.,11q23.1
List chromosome locations of the genes related to EDICT syndrome.,15q25.1
List chromosome locations of the genes related to Gastrointestinal defects and immunodeficiency syndrome.,22q11.21
List chromosome locations of the genes related to Cleft palate with ankyloglossia.,Xq21.1
List chromosome locations of the genes related to Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures.,6q27
List chromosome locations of the genes related to Spondylocarpotarsal synostosis syndrome.,3p14.3
List chromosome locations of the genes related to Haim-Munk syndrome.,11q14.2
List chromosome locations of the genes related to Sialidosis.,6p21.33
List chromosome locations of the genes related to Siddiqi syndrome.,20q13.12
List chromosome locations of the genes related to Corneal fleck dystrophy.,2q34
List chromosome locations of the genes related to Liver failure.,22q13.31
List chromosome locations of the genes related to Proteasome-associated autoinflammatory syndrome.,6p21.32
List chromosome locations of the genes related to Orofaciodigital syndrome XIV.,11q13.4
List chromosome locations of the genes related to Trichoepithelioma.,16q12.1
List chromosome locations of the genes related to Medullary thyroid carcinoma.,10q11.21
List chromosome locations of the genes related to Type diabetes mellitus.,17q12
List chromosome locations of the genes related to Buschke-Ollendorff syndrome.,12q14.3
List chromosome locations of the genes related to Vascular malformation.,20q13.12
List chromosome locations of the genes related to Acrocallosal syndrome.,15q26.1
List chromosome locations of the genes related to Congenital disorder of deglycosylation.,3p24.2
List chromosome locations of the genes related to Spinal muscular atrophy with congenital bone fractures.,15q22.31
List chromosome locations of the genes related to B-cell immunodeficiency.,3p24.2
List chromosome locations of the genes related to Immunodeficiency with inflammatory disease and congenital thrombocytopenia.,7q22.1
List chromosome locations of the genes related to Split-foot malformation with mesoaxial polydactyly.,2q31.1
List chromosome locations of the genes related to Pigmented nodular adrenocortical disease.,17q24.2
List chromosome locations of the genes related to Superoxide dismutase.,4p15.2
List chromosome locations of the genes related to Leukoencephalopathy with dystonia and motor neuropathy.,1p32.3
List chromosome locations of the genes related to Intracranial hemorrhage in brain cerebrovascular malformations.,7p15.3
List chromosome locations of the genes related to Multiple system atrophy.,4q21.23
List chromosome locations of the genes related to Cone dystrophy.,10q23.33
List chromosome locations of the genes related to Holt-Oram syndrome.,12q24.21
List chromosome locations of the genes related to Lichtenstein-Knorr syndrome.,1p36.11
List chromosome locations of the genes related to Ablepharon-macrostomia syndrome.,2q37.3
