question,Goldstandard
List chromosome locations of the genes related to Abnormality of the epiphyses of the 3rd finger.,20q11.22
List chromosome locations of the genes related to Diminished health-related quality of life.,16p13.3
List chromosome locations of the genes related to Hot flashes.,3p22.2
List chromosome locations of the genes related to Elevated aldosterone:renin ratio.,16p13.3
List chromosome locations of the genes related to Induced vaginal delivery.,15q24.1
List chromosome locations of the genes related to Premature birth following premature rupture of fetal membranes.,9q34.3
List chromosome locations of the genes related to Formation of multiple pronuclei during fertilization.,15q24.1
List chromosome locations of the genes related to Preimplantation lethality.,1p36.13
List chromosome locations of the genes related to Hamartomatous stomach polyps.,9q22.32
List chromosome locations of the genes related to Gastric lymphoma.,1p22.3
List chromosome locations of the genes related to Ampulla of Vater carcinoma.,5q22.2
List chromosome locations of the genes related to 1-4 toe syndactyly.,18q21.31
List chromosome locations of the genes related to Palate neoplasm.,17q24.2
List chromosome locations of the genes related to Ossifying fibroma of the jaw.,16q13
List chromosome locations of the genes related to Neurofibroma by anatomical location.,17q11.2
List chromosome locations of the genes related to Subcutaneous neurofibroma.,17q11.2
List chromosome locations of the genes related to Acral lentiginous melanoma.,8p12
List chromosome locations of the genes related to Lentigo maligna melanoma.,7q34
List chromosome locations of the genes related to Neoplasm of the scrotum.,11q24.3
List chromosome locations of the genes related to Abnormality of the epiphysis of the middle phalanx of the 2nd finger.,20q11.22
List chromosome locations of the genes related to Aphalangy of the hands.,8q24.3
List chromosome locations of the genes related to Complete duplication of the phalanges of the 3rd finger.,15q26.3
List chromosome locations of the genes related to Mirror image foot polydactyly.,5q31.1
List chromosome locations of the genes related to Short distal phalanx of the 4th finger.,12q13.11
List chromosome locations of the genes related to Expanded phalanges with widened medullary cavities.,2q24.2
List chromosome locations of the genes related to Distal femoral metaphyseal irregularity.,6q22.1
List chromosome locations of the genes related to Fibular metaphyseal irregularity.,16q13
List chromosome locations of the genes related to Tibial metaphyseal irregularity .,16q13
List chromosome locations of the genes related to Metaphyseal chondromatosis of femur .,2q34
List chromosome locations of the genes related to Metaphyseal chondromatosis of radius .,2q34
List chromosome locations of the genes related to Metaphyseal chondromatosis of tibia.,2q34
List chromosome locations of the genes related to Absent primary metaphyseal spongiosa.,12q24.11
List chromosome locations of the genes related to Spurred metaphyses of the upper limbs.,Xp22.2
List chromosome locations of the genes related to Growth arrest lines.,20q13.12
List chromosome locations of the genes related to Facial palsy secondary to cranial hyperostosis.,17q21.31
List chromosome locations of the genes related to Mandibular hyperostosis.,14q32.33
List chromosome locations of the genes related to Total anosmia.,6q23.3
List chromosome locations of the genes related to Parosmia.,3p22.2
List chromosome locations of the genes related to Chronic rhinitis due to narrow nasal airway.,13q14.11
List chromosome locations of the genes related to Orbital cleft.,22q11.23
List chromosome locations of the genes related to Paramedian facial cleft.,11p11.2
List chromosome locations of the genes related to Midline facial cleft.,5q12.1
List chromosome locations of the genes related to Transverse facial cleft.,11q13.1
List chromosome locations of the genes related to Telangiectasia of the oral mucosa.,22q13.2
List chromosome locations of the genes related to Diffuse telangiectasia.,19q13.11
List chromosome locations of the genes related to Telangiectasia macularis eruptiva perstans.,4q12
List chromosome locations of the genes related toErythema migransr.,12q13.13
List chromosome locations of the genes related to Necrolytic migratory erythema.,17q25.3
List chromosome locations of the genes related to Darier's sign.,4q12
List chromosome locations of the genes related to Diminished physical functioning.,3q13.33
