question,Goldstandard
What is Halitosis?,Noticeably unpleasant odors exhaled in breathing.
What is Sneeze?,"A sudden violent, spasmodic, audible expiration of breath through the nose and mouth."
What is Chest tightness?,An unpleasant sensation of tightness or pressure in the chest.
What is Coldness?,"Relative coldness of a body part to palpitation, often acccompanied by feelings of coldness."
What is Hot flashes?,"Sudden feelings of warmth that are generally most pronounced over the face, neck and chest."
What is Abnormal nail growth?,Nail whose growth pattern or speed deviates from normal.
What is Irregular distal femoral epiphysis?,Anomaly of the contour of the Distal epiphysis of femur such that its normally smooth appearance is irregular.
What is Abnormal central motor function?,An anomaly of the control or production of movement in the central nervous system.
What is Enlarged epiphyses of the phalanges of the hand?,Abnormally large size of the epiphyses of the phalanges of the fingers with respect to age-dependent norms.
What is Abnormal speech discrimination ?,"A type of hearing impairment prominently characterized by a difficulty in understanding speech, rather than an inability to hear speech. Poor speech discrimination is a very common symptom of high frequency hearing loss."
What is Enlarged metacarpal epiphyses?,"Abnormally large size of one or more growth plates (epiphyses) of the metacarpal bones (i.e., the tubular bones of the hand between the carpus and the phalanges)."
What is Enlargement of the proximal femoral epiphysis?,An abnormal enlargement of the proximal epiphysis of the femur.
What is Absent ossification of capital femoral epiphysis?,Lack of ossification of the proximal epiphysis of the femur.
What is Cleft lip?,A gap in the lip or lips.
What is Coloboma?,A developmental defect characterized by a cleft of some portion of the eye or ocular adnexa.
What is Cryptorchidism?,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum."
What is Unilateral deafness?,A unilateral absence of sensory perception of sound.
What is Global developmental delay?,"A delay in the achievement of motor or mental milestones in the domains of development of a child, including motor skills, speech and language, cognitive skills, and social and emotional skills. This term should only be used to describe children younger than five years of age."
What is Abnormal facial shape?,An abnormal morphology (form) of the face or its components.
What is Seizure?,A seizure is an intermittent abnormality of nervous system physiology characterized by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain.
What is Hearing loss?,A decreased magnitude of the sensory perception of sound.
What is Hypoglycemia?,A decreased concentration of glucose in the blood.
What is Hypertension?,The presence of chronic increased pressure in the systemic arterial system.
What is Hypopigmentation of the skin?,A reduction of skin color related to a decrease in melanin production and deposition.
What is Increased bone mineral density ?,"An abnormal increase of bone mineral density, that is, of the amount of matter per cubic centimeter of bones which is often referred to as osteosclerosis. Osteosclerosis can be detected on radiological examination as an increased whiteness (density) of affected bones."
What is Insulin resistance?,"Increased resistance towards insulin, that is, diminished effectiveness of insulin in reducing blood glucose levels."
What is Jaundice?,"Yellow pigmentation of the skin due to bilirubin, which in turn is the result of increased bilirubin concentration in the bloodstream."
What is Macrocephaly?,"Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the cranium."
What is Microcephaly?,Head circumference below 2 standard deviations below the mean for age and gender.
What is Mitral valve prolapse ?,One or both of the leaflets (cusps) of the mitral valve bulges back into the left atrium upon contraction of the left ventricle.
What is Neonatal hypotonia?,Muscular hypotonia (abnormally low muscle tone) manifesting in the neonatal period.
What is Nystagmus ?,"Rhythmic, involuntary oscillations of one or both eyes related to abnormality in fixation, conjugate gaze, or vestibular mechanisms."
What is Ocular albinism?,An abnormal reduction in the amount of pigmentation (reduced or absent) of the iris and retina.
What is Polydactyly?,A congenital anomaly characterized by the presence of supernumerary fingers or toes.
What is Postnatal growth retardation?,Slow or limited growth after birth.
What is Short stature?,"A height below that which is expected according to age and gender norms. Although there is no universally accepted definition of short stature, many refer to ""short stature"" as height more than 2 standard deviations below the mean for age and gender (or below the 3rd percentile for age and gender dependent norms)."
What is Skin rash?,A red eruption of the skin.
What is Slurred speech?,Abnormal coordination of muscles involved in speech.
What is Scoliosis?,The presence of an abnormal lateral curvature of the spine.
What is Dysphagia ?,Difficulty in swallowing.
What is Testicular atrophy?,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.
What is Ectopic thyroid?,Mislocalised thyroid gland.
What is Visual impairment?,"Visual impairment (or vision impairment) is vision loss (of a person) to such a degree as to qualify as an additional support need through a significant limitation of visual capability resulting from either disease, trauma, or congenital or degenerative conditions that cannot be corrected by conventional means, such as refractive correction, medication, or surgery."
What is Generalized periodontitis?,A generalized form of periodontitis.
What is Hydrocephalus?,Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.
What is Epicanthus ?,"A fold of skin starting above the medial aspect of the upper eyelid and arching downward to cover, pass in front of and lateral to the medial canthus."
What is Facial asymmetry?,An abnormal difference between the left and right sides of the face.
What is Skeletal dysplasia?,A general term describing features characterized by abnormal development of bones and connective tissues.
What is Myopathy ?,A disorder of muscle unrelated to impairment of innervation or neuromuscular junction.
What is Abnormality of the upper limb?,An abnormality of the arm.
