question,Goldstandard
What are genes related to Hemolytic anemia due to phosphofructokinase deficiency?,PFKL
What are genes related to Distal renal tubular acidosis?,"SLC4A1, ATP6V0A4"
What are genes related to Pseudohypoparathyroidism Ic?,GNAS
What are genes related to Glycine N-methyltransferase deficiency?,GNMT
What are genes related to Meesmann corneal dystrophy?,"KRT12, KRT3"
What are genes related to Chronic atrial and intestinal dysrhythmia?,SGO1
What are genes related to Sensorineural deafness with mild renal dysfunction?,BSND
What are genes related to Bile acid malabsorption?,"SLC10A2, SLC51B"
What are genes related to Immunodeficiency due to defect in MAPBP-interacting protein?,LAMTOR2
What are genes related to Currarino syndrome?,MNX1
What are genes related to Intervertebral disc disease?,COL9A3
What are genes related to Otofaciocervical syndrome?,"EYA1, PAX1"
What are genes related to Brody myopathy?,ATP2A1
What are genes related to Neurodevelopmental disorder with gait disturbance?,TCEAL1
What are genes related to Mitochondrial DNA depletion syndrome 4A Alpers type?,POLG
What are genes related to Nephropathy due to CFHR5 deficiency?,CFHR5
What are genes related to Achromatopsia?,"CNGA3, CNGB3, GNAT2, PDE6H, ATF6"
What are genes related to Hyperphenylalaninemia?,"PTS, GCH1, QDPR, PCBD1, DNAJC12, PAH"
What are genes related to EDICT syndrome?,MIR184
What are genes related to Gastrointestinal defects and immunodeficiency syndrome?,"PI4KA, TTC7A"
What are genes related to Cleft palate with ankyloglossia?,TBX22
What are genes related to Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures?,DLL1
What are genes related to Spondylocarpotarsal synostosis syndrome?,FLNB
What are genes related to Haim-Munk syndrome?,CTSC
What are genes related to Sialidosis?,NEU1
What are genes related to Siddiqi syndrome?,FITM2
What are genes related to Corneal fleck dystrophy?,PIKFYVE
What are genes related to Liver failure?,TRMU
What are genes related to Proteasome-associated autoinflammatory syndrome?,"PSMB9, PSMG2, POMP, PSMB10"
What are genes related to Orofaciodigital syndrome XIV?,C2CD3
What are genes related to Trichoepithelioma?,CYLD
What are genes related to Medullary thyroid carcinoma?,RET
What are genes related to Type diabetes mellitus?,"HNF1B, IL6, GPD2, HMGA1, IRS1, NEUROD1, IL6"
What are genes related to Buschke-Ollendorff syndrome?,LEMD3
What are genes related to Vascular malformation?,ELMO2
What are genes related to Acrocallosal syndrome?,KIF7
What are genes related to Congenital disorder of deglycosylation?,"NGLY1, MAN2C1"
What are genes related to Spinal muscular atrophy with congenital bone fractures?,"TRIP4, ASCC1"
What are genes related to B-cell immunodeficiency?,TOP2B
What are genes related to Immunodeficiency with inflammatory disease and congenital thrombocytopenia?,ARPC1B
What are genes related to Split-foot malformation with mesoaxial polydactyly?,MAP3K20
What are genes related to Pigmented nodular adrenocortical disease?,"PRKAR1A, PDE11A, PDE8B"
What are genes related to Superoxide dismutase?,SOD3
What are genes related to Leukoencephalopathy with dystonia and motor neuropathy?,SCP2
What are genes related to Intracranial hemorrhage in brain cerebrovascular malformations?,IL6
What are genes related to Multiple system atrophy?,COQ2
What are genes related to Cone dystrophy?,"PDE6C, GUCA1A"
What are genes related to Holt-Oram syndrome?,TBX5
What are genes related to Lichtenstein-Knorr syndrome?,SLC9A1
What are genes related to Ablepharon-macrostomia syndrome?,TWIST2
