question,Goldstandard
What are disease related to Halitosis ?,Extraoral halitosis due to MTO deficiency;Methionine adenosyltransferase I/III deficiency;Idiopathic bronchiectasis
What are disease related to Sneeze?,Achoo syndrome
What are disease related to Chest tightness?,"Left ventricular noncompaction 1;Asbestos intoxication;Tracheobronchopathia osteochondroplastica;Hypokalemic periodic paralysis, type 2"
What are disease related to Coldness?,Atypical Rett syndrome;Rett syndrome
What are disease related to Hot flashes?,Kleine-Levin syndrome
What are disease related to Fragmented epiphyses of the upper limbs?,Multiple epiphyseal dysplasia due to collagen 9 anomaly
What are disease related to Irregular distal femoral epiphysis?,"
Marshall syndrome;Epiphyseal dysplasia, multiple, 6"
"What are disease related to Fragmented, irregular epiphyses?",Pseudoachondroplasia;Mueller-Weiss syndrome
What are disease related to Enlarged epiphyses of the phalanges of the hand?,"Spondylomegaepiphyseal dysplasia with upper limb mesomelia, punctatecalcifications, and deafness;Spondyloepiphyseal dysplasia tarda;Brachydactyly, type C"
What are disease related to Enlarged epiphyses of the proximal phalanges of the hand ?,"Brachydactyly, type C"
What are disease related to Enlarged metacarpal epiphyses?,"Spondylomegaepiphyseal dysplasia with upper limb mesomelia, punctatecalcifications, and deafness"
What are disease related to Enlargement of the proximal femoral epiphysis?,"Arthropathy, progressive pseudorheumatoid, of childhood;Progressive pseudorheumatoid arthropathy of childhood;Metaphyseal chondrodysplasia, Schmid type"
What are disease related to Absent ossification of capital femoral epiphysis?,Congenital hypothyroidism due to maternal intake of antithyroid drugs
What are disease related to Cone-shaped epiphyses of the proximal phalanges of the hand?,"Acrocapitofemoral dysplasia;Trichorhinophalangeal syndrome, type I
"
What are disease related to Deformed forearm bones?,Multiple osteochondromas;Ulnar-Mammary syndrome
What are disease related to Giant cell tumor of bone?,Oncogenic osteomalacia;Focal dermal hypoplasia
What are disease related to Facial telangiectasia in butterfly midface distribution?,Bloom syndrome;Hypotrichosis-Lymphedema-Telangiectasia-Renal defect syndrome
What are disease related to Telangiectases of the cheeks?,"Arterial tortuosity syndrome;Mucolipidosis type II;Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads;Facial dysmorphism, immunodeficiency, livedo, and short stature"
What are disease related to Palmar telangiectasia?,"Hypotrichosis-lymphedema-telangiectasia syndrome;Porokeratosis plantaris, palmaris, et disseminata;Telangiectasia, hereditary hemorrhagic, type 2;Primary sclerosing cholangitis;Reynolds syndrome;Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome"
What are disease related to Palmoplantar erythema?,"Kawasaki disease;Pruritic urticarial papules and plaques of pregnancy;Palmoplantar keratoderma with congenital alopecia;Chromosome 1q21.1 deletion syndrome, 1.35-mb;Cardiomyopathy, dilated, with woolly hair and keratoderma;Odontoonychodermal dysplasia"
What are disease related to Cold urticaria?,Immunodeficiency 58;Familial cold autoinflammatory syndrome 3;Simple cryoglobulinemia
What are disease related to Choroid plexus papilloma?,"Papilloma of choroid plexus;Neurocutaneous melanosis, somatic;Papilloma of choroid plexus"
What are disease related to Neuronal/glioneuronal neoplasm of the central nervous system?,Isolated focal cortical dysplasia
What are disease related to Ear pain?,SUNCT syndrome;Glossopharyngeal neuralgia;Meningioma;Pachyonychia congenita;Dural sinus malformation
What are disease related to Tongue pain?,Burning mouth syndrome;Glossopharyngeal neuralgia;Hereditary sensory and autonomic neuropathy type 4
What are disease related to Eye movement-induced pain?,"Fuchs endothelial corneal dystrophy;Acute disseminated encephalomyelitis
"
What are disease related to Precordial pain?,X-linked Alport syndrome-diffuse leiomyomatosis;Primary triglyceride deposit cardiomyovasculopathy
What are disease related to Gastrocnemius myalgia?,Lower motor neuron syndrome with late-adult onset
What are disease related to Occipital neuralgia?,Chiari malformation type II
What are disease related to Paroxysmal rectal pain?,Pudendal neuralgia
What are disease related to Arthralgia/arthritis?,Scedosporiosis;Marfan syndrome;Adult-onset Still disease;Insulin autoimmune syndrome
What are disease related to Podagra?,"Lesch-Nyhan syndrome;Gout, hprt-related"
What are disease related to Symmetric polyarthritis?,Rheumatoid factor-positive polyarticular juvenile idiopathic arthritis
What are disease related to Easily subluxated first metacarpophalangeal joints?,Pierre Robin sequence with facial and digital anomalies
What are disease related to Subluxation of the small joints of the hand?,Overlap myositis;Spondylodysplastic Ehlers-Danlos syndrome
What are disease related to Sacroiliac arthritis?,"Psoriasis-related juvenile idiopathic arthritis;Enthesitis-related juvenile idiopathic arthritis;Spondyloarthropathy, susceptibility to, 1;Brucellosis"
What are disease related to Osteoarthritis of the small joints of the hand?,"Aneurysm-osteoarthritis syndrome;Familial digital arthropathy-brachydactyly;Spinal dysplasia, Anhalt type;Multiple epiphyseal dysplasia type 5;Hand osteoarthritis;Spondyloepiphyseal dysplasia tarda
"
What are disease related to Shoulder subluxation?,"ntellectual disability-cardiac anomalies-short stature-joint laxity syndrome;Fibromuscular dysplasia, multifocal;Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency"
What are disease related to Laryngeal edema?,"Angioedema, hereditary, 4;Angioedema, hereditary, 8;Hereditary angioedema type 1;Renin-angiotensin-aldosterone system-blocker-induced angioedema;Meige disease"
What are disease related to Muscular edema?,Solitary bone cyst;Pyknoachondrogenesis;Eosinophilic fasciitis;Dysferlin-related limb-girdle muscular dystrophy R2
What are disease related to Peau d'orange?,"Pseudoxanthoma elasticum, forme fruste;Congenital disorder of glycosylation, type IIl;Diffuse cutaneous mastocytosis;Cutaneous mastocytoma"
What are disease related to Tongue edema?,Renin-angiotensin-aldosterone system-blocker-induced angioedema;Hereditary angioedema type 1
What are disease related to Intolerance to protein?,"Congenital short bowel syndrome;Floating-Harbor syndrome;Dermatitis herpetiformis
"
What are disease related to Mesomelic/rhizomelic limb shortening?,Bohring-Opitz syndrome;Lethal Kniest-like dysplasia;Pallister-Killian syndrome;Langer mesomelic dysplasia;Heart defects-limb shortening syndrome;Pelvis-shoulder dysplasia
What are disease related to Hemiatrophy of upper limb?,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome;Ulnar hemimelia
What are disease related to Hot flashes?,Kleine-Levin syndrome
What are disease related to Fish odor?,"Dimethylglycine dehydrogenase deficiency;Severe primary trimethylaminuria;Dimethylglycine dehydrogenase deficiency
"
What are disease related to Inguinal lymphadenopathy?,"Immunodeficiency 38 with basal ganglia calcification;Immune dysregulation, autoimmunity, and autoinflammation"
What are disease related to Maternal fever in pregnancy?,Isolated anencephaly;Isolated exencephaly
What are disease related to History of stillbirth?,"Hydatidiform mole, recurrent, 1"
