question,Goldstandard
What is the official gene symbol of LMP10?,PSMB10
What is the official gene symbol of SNAT6?,SLC38A6
What is the official gene symbol of IMD20?,FCGR3A
What is the official gene symbol of C20orf195?,FNDC11
What is the official gene symbol of CXorf40B?,EOLA2
What is the official gene symbol of QSCN6L1?,QSOX2
What is the official gene symbol of OR11-86?,OR10A2
What is the official gene symbol of NPAP60L?,NUP50
What is the official gene symbol of AF10?,MLLT10
What is the official gene symbol of bMRP63?,MRPL57
What is the official gene symbol of HsT1192?,SYT4
What is the official gene symbol of ZNF482?,ZBTB6
What is the official gene symbol of PTH1?,PTH
What is the official gene symbol of AGTIL?,ASIP
What is the official gene symbol of LEP9?,LCE2A
What is the official gene symbol of SEP3?,SEPTIN3
What is the official gene symbol of FFDD3?,TWIST2
What is the official gene symbol of C6orf186?,METTL24
What is the official gene symbol of hCAP?,RNGTT
What is the official gene symbol of CKBBP1?,RNF7
What is the official gene symbol of TFA?,F3
What is the official gene symbol of BMSC-MCP?,SLC25A33
What is the official gene symbol of PCH3?,PCLO
What is the official gene symbol of OR11-75?,OR56A1
What is the official gene symbol of RBAP1?,E2F1
What is the official gene symbol of DCSCRIPT?,ZNF366
What is the official gene symbol of 15-LOX?,ALOX15
What is the official gene symbol of CT116?,LYPD6B
What is the official gene symbol of PKCL?,PRKCH
What is the official gene symbol of SGEF?,ARHGEF26
What is the official gene symbol of CTGLF6?,AGAP9
What is the official gene symbol of FAP9?,IFT22
What is the official gene symbol of MPS4B?,GLB1
What is the official gene symbol of LSDMCA2?,COX7B
What is the official gene symbol of PLK-5?,PLK5
What is the official gene symbol of C20orf86?,ANKRD60
What is the official gene symbol of GalNAc-T4?,POC1B-GALNT4
What is the official gene symbol of NEDCHS?,INTS8
What is the official gene symbol of PCPB?,CPB2
What is the official gene symbol of PFDN3?,VBP1
What is the official gene symbol of TSH2B?,H2BC1
What is the official gene symbol of RSG1?,CPLANE2
What is the official gene symbol of M12.219?,ADAMDEC1
What is the official gene symbol of beta3Gn-T8?,B3GNT8
What is the official gene symbol of ASV?,SRC
What is the official gene symbol of C11orf27?,UBTFL1
What is the official gene symbol of GCS1?,MOGS
What is the official gene symbol of FAM214B?,ATOSB
What is the official gene symbol of CTTNBP1?,SHANK2
What is the official gene symbol of PTP-SL?,PTPRR
