question,Goldstandard,
What is the function of the gene associated with SNP rs1217074595? ,ncRNA,
What is the function of the gene associated with SNP rs1241371358?  ,Predicted to be active in cytosol.,"The gene associated with SNP rs1217074595 is FKBP5 (FK506 binding protein 5). FKBP5 encodes a protein that is a member of the immunophilin protein family, which plays a role in immunoregulation and basic cellular processes involving protein folding and trafficking. This protein is a cis-trans prolyl isomerase that binds to the immunosuppressants tacrolimus (FK506) and sirolimus (rapamycin). It is thought to mediate calcineurin inhibition. Additionally, FKBP5 interacts functionally with mature corticoid receptor hetero-complexes, along with the 90 kDa heat shock protein and PTGES3 (P23 protein). As an Hsp90-associated co-chaperone that regulates the responsiveness of steroid hormone receptors, FKBP5 plays an important role in stress endocrinology and glucocorticoid signaling. 
EN.WIKIPEDIA.ORG

Variations in the FKBP5 gene have been associated with a higher rate of depressive disorders. Decreased methylation in the promoter of the FKBP5 gene has been observed in blood samples from patients with neurodegenerative diseases."
What is the function of the gene associated with SNP rs1481036795?  ,"SEPT11 belongs to the conserved septin family of filament-forming cytoskeletal GTPases that are involved in a variety of cellular functions including cytokinesis and vesicle trafficking (Hanai et al., 2004 [PubMed 15196925]; Nagata et al., 2004 [PubMed 15485874]).","The single nucleotide polymorphism (SNP) rs1481036795 is associated with the IFIH1 gene, which encodes the Interferon Induced with Helicase C Domain 1 protein, also known as MDA5 (Melanoma Differentiation-Associated protein 5). 
EN.WIKIPEDIA.ORG

Function of IFIH1/MDA5:

Pathogen Recognition: MDA5 is a cytoplasmic pattern recognition receptor (PRR) that detects viral double-stranded RNA (dsRNA), a common replication intermediate of many viruses. Upon recognition of dsRNA, MDA5 initiates antiviral immune responses.

Immune Response Activation: Activation of MDA5 leads to the production of type I interferons and other pro-inflammatory cytokines, which are crucial for controlling viral infections.

Role in Autoimmunity: Variants in the IFIH1 gene have been associated with susceptibility to autoimmune diseases, such as type 1 diabetes and systemic lupus erythematosus.

In summary, the IFIH1 gene plays a pivotal role in the innate immune system by detecting viral components and triggering antiviral responses."
What is the function of the gene associated with SNP rs1318850293?  ,Predicted to enable guanyl-nucleotide exchange factor activity. Predicted to be involved in Rho protein signal transduction.,"The single nucleotide polymorphism (SNP) rs1318850293 is associated with the ARHGEF10 gene, which encodes the Rho Guanine Nucleotide Exchange Factor 10 protein. This protein is involved in the activation of Rho GTPases by facilitating the exchange of GDP for GTP, a process crucial for various cellular functions. Specifically, ARHGEF10 is implicated in:

Neuronal Development: It plays a role in the development of the nervous system, particularly in the myelination of peripheral nerves.

Cell Migration and Morphogenesis: By regulating Rho GTPases, it influences cell shape and movement, essential for tissue development and repair.

Mutations or variations in the ARHGEF10 gene have been associated with neurological disorders, including slowed nerve conduction velocity and Charcot-Marie-Tooth disease type 4H."
What is the function of the gene associated with SNP rs996319727?  ,Predicted to enable thiol-dependent deubiquitinase and zinc ion binding activity. Involved in spliceosomal complex assembly. Located in nucleoplasm. Part of U4/U6 x U5 tri-snRNP complex.,"The single nucleotide polymorphism (SNP) rs996319727 is associated with the USP39 gene, which encodes the Ubiquitin-Specific Peptidase 39 protein. USP39 is a member of the peptidase C19 family of deubiquitinating enzymes, but it lacks catalytic activity due to the absence of critical cysteine and histidine residues in its active site. Instead, USP39 plays a crucial role in the assembly of the spliceosome, a complex responsible for the removal of introns from pre-mRNA during the process of splicing. Specifically, USP39 is involved in the stabilization of the spliceosome's components and is essential for the accurate and efficient splicing of pre-mRNA, which is vital for proper gene expression and the production of functional proteins.

Alterations in USP39 expression or function have been implicated in various diseases, including certain cancers, where aberrant splicing can lead to the production of oncogenic protein variants."
What is the function of the gene associated with SNP rs577757681?  ,"Predicted to enable oxidoreductase activity. Predicted to be involved in response to oxidative stress. Predicted to act upstream of or within several processes, including adult walking behavior; negative regulation of neuron death; and negative regulation of peptidyl-cysteine S-nitrosylation. Predicted to be located in mitochondrion and nucleolus. Predicted to be active in nucleus. Implicated in cerebellar hyplasia/atrophy, epilepsy, and global developmental delay.",
What is the function of the gene associated with SNP rs1294482311?  ,"The protein encoded by this gene is a member of the WD repeat superfamily of proteins, which have regulatory functions. This gene is expressed in many tissue types including several types of eye tissue, and it has been associated with ocular phenotypes. In addition, it is upregulated in cultured cells that overexpress growth factor independence 1B, a transcription factor that is essential for hematopoietic cell development. Alternative splicing results in multiple transcript variants.",
What is the function of the gene associated with SNP rs979970652?  ,"Predicted to enable mRNA binding activity and poly(A) binding activity. Predicted to be involved in regulation of alternative mRNA splicing, via spliceosome. Predicted to be located in nucleoplasm. Predicted to be active in nucleus.",
What is the function of the gene associated with SNP rs1029002401?  ,"Predicted to enable DNA binding activity. Predicted to be involved in homologous chromosome pairing at meiosis and meiotic attachment of telomere to nuclear envelope. Predicted to be located in chromosome, telomeric region. Predicted to be integral component of nuclear inner membrane.",
What is the function of the gene associated with SNP rs1015227?  ,ncRNA,
