question,Goldstandard
Which chromosome is FAM66D gene located on human genome?,chr8
Which chromosome is TTTY7 gene located on human genome?,chrY
Which chromosome is LA16c-329F2.2 gene located on human genome?,chr16
Which chromosome is RGS16 gene located on human genome?,chr1
Which chromosome is FOXL2NB gene located on human genome?,chr3
Which chromosome is RP11-17A4.3 gene located on human genome?,chr8
Which chromosome is EML3 gene located on human genome?,chr11
Which chromosome is LPAR2 gene located on human genome?,chr19
Which chromosome is ENSG10010137169.1 gene located on human genome?,chr4
Which chromosome is AC018712.2 gene located on human genome?,chr2
Which chromosome is RRS1 gene located on human genome?,chr8
Which chromosome is LINC02599 gene located on human genome?,chr8
Which chromosome is ZNF117 gene located on human genome?,chr7
Which chromosome is RP11-829H16.3 gene located on human genome?,chr14
Which chromosome is RN7SKP265 gene located on human genome?,chr3
Which chromosome is RP11-1102P22.1 gene located on human genome?,chr16
Which chromosome is AC018892.8 gene located on human genome?,chr2
Which chromosome is RP11-255A11.4 gene located on human genome?,chr9
Which chromosome is NPTN gene located on human genome?,chr15
Which chromosome is RP11-123M21.2 gene located on human genome?,chr12
Which chromosome is ZNF574 gene located on human genome?,chr19
Which chromosome is RNU6-1143P gene located on human genome?,chr11
Which chromosome is RP11-303E16.8 gene located on human genome?,chr16
Which chromosome is SCO2 gene located on human genome?,chr22
Which chromosome is ERCC8 gene located on human genome?,chr5
Which chromosome is ENSG10010137820.1 gene located on human genome?,chr2
Which chromosome is RP11-215H18.5 gene located on human genome?,chr11
Which chromosome is RPS26P3 gene located on human genome?,chr9
Which chromosome is RN7SL465P gene located on human genome?,chr6
Which chromosome is TRGC2 gene located on human genome?,chr7
Which chromosome is RN7SL689P gene located on human genome?,chr5
Which chromosome is CTB-180A7.6 gene located on human genome?,chr19
Which chromosome is MTND2P25 gene located on human genome?,chrX
Which chromosome is MTND6P21 gene located on human genome?,chr21
Which chromosome is UBE2D4 gene located on human genome?,chr7
Which chromosome is SRD5A1P1 gene located on human genome?,chrX
Which chromosome is CTD-2272D18.2 gene located on human genome?,chr8
Which chromosome is SNORD4B gene located on human genome?,chr17
Which chromosome is AC006042.8 gene located on human genome?,chr7
Which chromosome is SLAIN2 gene located on human genome?,chr4
Which chromosome is RP11-173H9.2 gene located on human genome?,chr2
Which chromosome is AC093802.1 gene located on human genome?,chr2
Which chromosome is RP4-612B18.1 gene located on human genome?,chr1
Which chromosome is AKIRIN1P2 gene located on human genome?,chrX
Which chromosome is SIGLEC19P gene located on human genome?,chr19
Which chromosome is RP11-179D22.1 gene located on human genome?,chr9
Which chromosome is RPS3AP46 gene located on human genome?,chr14
Which chromosome is IFRD1 gene located on human genome?,chr7
Which chromosome is RP11-1299A16.3 gene located on human genome?,chr4
Which chromosome is OR51H2P gene located on human genome?,chr11
