question,Goldstandard
Which chromosome does SNP rs1430464868 locate on human genome?,chr13
Which chromosome does SNP rs545148486 locate on human genome?,chr16
Which chromosome does SNP rs895485955 locate on human genome?,chr19
Which chromosome does SNP rs1376217783 locate on human genome?,chr11
Which chromosome does SNP rs1420724913 locate on human genome?,chr16
Which chromosome does SNP rs992486373 locate on human genome?,chr15
Which chromosome does SNP rs975300764 locate on human genome?,chr4
Which chromosome does SNP rs993131098 locate on human genome?,chr14
Which chromosome does SNP rs899883800 locate on human genome?,chr1
Which chromosome does SNP rs547832386 locate on human genome?,chr15
Which chromosome does SNP rs1212113267 locate on human genome?,chr22
Which chromosome does SNP rs1435895561 locate on human genome?,chr19
Which chromosome does SNP rs427884 locate on human genome?,chr11
Which chromosome does SNP rs1188706680 locate on human genome?,chr4
Which chromosome does SNP rs1316126938 locate on human genome?,chr18
Which chromosome does SNP rs1398189587 locate on human genome?,chr4
Which chromosome does SNP rs1372020525 locate on human genome?,chr14
Which chromosome does SNP rs188137472 locate on human genome?,chr17
Which chromosome does SNP rs1246801490 locate on human genome?,chr18
Which chromosome does SNP rs983633514 locate on human genome?,chr8
Which chromosome does SNP rs1274126968 locate on human genome?,chr14
Which chromosome does SNP rs1392348488 locate on human genome?,chr22
Which chromosome does SNP rs965556407 locate on human genome?,chr4
Which chromosome does SNP rs999510594 locate on human genome?,chr16
Which chromosome does SNP rs1412275115 locate on human genome?,chr17
Which chromosome does SNP rs951388492 locate on human genome?,chr14
Which chromosome does SNP rs967011458 locate on human genome?,chr4
Which chromosome does SNP rs555675816 locate on human genome?,chr8
Which chromosome does SNP rs1333853138 locate on human genome?,chr22
Which chromosome does SNP rs910383316 locate on human genome?,chr1
Which chromosome does SNP rs563617526 locate on human genome?,chr11
Which chromosome does SNP rs1357251061 locate on human genome?,chr21
Which chromosome does SNP rs1401416674 locate on human genome?,chr10
Which chromosome does SNP rs76491275 locate on human genome?,chr21
Which chromosome does SNP rs141272872 locate on human genome?,chr3
Which chromosome does SNP rs1281763211 locate on human genome?,chr4
Which chromosome does SNP rs1278117191 locate on human genome?,chr20
Which chromosome does SNP rs1239675264 locate on human genome?,chr21
Which chromosome does SNP rs866998836 locate on human genome?,chr17
Which chromosome does SNP rs1228002921 locate on human genome?,chr2
Which chromosome does SNP rs976400036 locate on human genome?,chr19
Which chromosome does SNP rs397784008 locate on human genome?,chr15
Which chromosome does SNP rs1170945868 locate on human genome?,chr22
Which chromosome does SNP rs990783431 locate on human genome?,chr3
Which chromosome does SNP rs1041819671 locate on human genome?,chr5
Which chromosome does SNP rs139642661 locate on human genome?,chr14
Which chromosome does SNP rs1263053296 locate on human genome?,chr14
Which chromosome does SNP rs1391145256 locate on human genome?,chr12
Which chromosome does SNP rs1002944049 locate on human genome?,chr9
Which chromosome does SNP rs962314907 locate on human genome?,chr5
