question,Goldstandard
Which gene is SNP rs1217074595 associated with?,LINC01270
Which gene is SNP rs1241371358 associated with?,LRRC23
Which gene is SNP rs1481036795 associated with?,SEPTIN11
Which gene is SNP rs1318850293 associated with?,PLEKHG7
Which gene is SNP rs996319727 associated with?,USP39
Which gene is SNP rs577757681 associated with?,OXR1
Which gene is SNP rs1294482311 associated with?,DMXL1
Which gene is SNP rs979970652 associated with?,KHDRBS2
Which gene is SNP rs1029002401 associated with?,MAJIN
Which gene is SNP rs1015227 associated with?,SCHLAP1
Which gene is SNP rs1278530438 associated with?,LDLRAD4
Which gene is SNP rs745325402 associated with?,CALCR
Which gene is SNP rs4704888 associated with?,SGCD
Which gene is SNP rs1201372088 associated with?,ZBTB25
Which gene is SNP rs1324451169 associated with?,MED26
Which gene is SNP rs983419152 associated with?,LINC02055
Which gene is SNP rs745940901 associated with?,JMJD1C
Which gene is SNP rs1303680136 associated with?,XKR9
Which gene is SNP rs1053827498 associated with?,NSMCE1
Which gene is SNP rs1350154096 associated with?,LOC107986092
Which gene is SNP rs1037441458 associated with?,LOC105372191
Which gene is SNP rs900408143 associated with?,RBFOX1
Which gene is SNP rs900532834 associated with?,PAK1
Which gene is SNP rs1281200566 associated with?,CCT8L2
Which gene is SNP rs1431266687 associated with?,CACNB2
Which gene is SNP rs900745020 associated with?,CREB5
Which gene is SNP rs1188606225 associated with?,GAREM1
Which gene is SNP rs902730377 associated with?,LOC105372323
Which gene is SNP rs1044115387 associated with?,GLIS3
Which gene is SNP rs979980368 associated with?,FAM53B
Which gene is SNP rs1161130206 associated with?,EMX2OS
Which gene is SNP rs910422326 associated with?,ANKFN1
Which gene is SNP rs1035892430 associated with?,TSPAN15
Which gene is SNP rs1255093658 associated with?,TENM3
Which gene is SNP rs1257276516 associated with?,LOC100506403
Which gene is SNP rs563369098 associated with?,LINC01673
Which gene is SNP rs1032834815 associated with?,FNDC3B
Which gene is SNP rs552952471 associated with?,RARB
Which gene is SNP rs1452964195 associated with?,LINC03021
Which gene is SNP rs949202492 associated with?,NECAB2
Which gene is SNP rs1218214598 associated with?,MIR4527HG
Which gene is SNP rs1022906840 associated with?,CCDC178
Which gene is SNP rs1199372758 associated with?,RUBCN
Which gene is SNP rs1396355441 associated with?,PTPRB
Which gene is SNP rs1432624213 associated with?,SLC22A14
Which gene is SNP rs937944577 associated with?,IFFO1
Which gene is SNP rs1450106117 associated with?,MED13
Which gene is SNP rs34083046 associated with?,MICU1
Which gene is SNP rs149916046 associated with?,LINC02841
Which gene is SNP rs1385096481 associated with?,LRFN5
